scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
31,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
32,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_25,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
33,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_50,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
34,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
35,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_25,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
36,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_50,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
37,W_max_pv_1kW.csv,FALSE,75,W_new,en,FALSE,,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
38,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
39,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
40,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
41,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
42,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_25,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
43,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_50,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
44,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
45,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_25,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
46,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_50,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
